MultiInstanceTask_NoneBehavior;jbpm;activities;0;1;1;1
MultiInstanceTask_OneBehavior;jbpm;activities;0;1;1;1
MultiInstanceTask_Parallel;jbpm;activities;0;1;1;1
MultiInstanceTask_Sequential;jbpm;activities;0;1;1;1
SubProcess;jbpm;activities;1;0;1;1
Transaction;jbpm;activities;1;0;1;1
Lanes;jbpm;basics;1;0;1;1
Participant;jbpm;basics;1;0;1;1
SequenceFlow;jbpm;basics;1;0;1;1
SequenceFlow_ConditionalDefault;jbpm;basics;0;2;2;1
SequenceFlow_ConditionalDefault_Normal;jbpm;basics;0;1;1;1
SequenceFlow_Conditional;jbpm;basics;0;2;2;1
ExclusiveDiverging_ParallelConverging;jbpm;errors;1;0;3;1
InclusiveDiverging_ParallelConverging;jbpm;errors;1;0;3;1
ParallelGateway_Conditions;jbpm;errors;1;0;4;1
Cancel_Event;jbpm;events;0;1;1;1
Compensation_BoundaryEvent_SubProcess;jbpm;events;1;0;1;1
Compensation_EndEvent_SubProcess;jbpm;events;1;0;1;1
Compensation_EndEvent_TopLevel;jbpm;events;1;0;1;1
Compensation_IntermediateEvent;jbpm;events;1;0;1;1
Compensation_StartEvent_EventSubProcess;jbpm;events;1;0;1;1
Compensation_TriggeredByCancel;jbpm;events;0;1;1;1
Conditional_BoundaryEvent_SubProcess_Interrupting;jbpm;events;0;2;2;1
Conditional_BoundaryEvent_SubProcess_NonInterrupting;jbpm;events;0;2;2;1
Conditional_IntermediateEvent;jbpm;events;0;2;2;1
Conditional_StartEvent_EventSubProcess_Interrupting;jbpm;events;0;1;1;1
Conditional_StartEvent_EventSubProcess_NonInterrupting;jbpm;events;0;1;1;1
Error_BoundaryEvent_SubProcess_Interrupting;jbpm;events;1;0;1;1
Error_BoundaryEvent_Transaction_Interrupting;jbpm;events;1;0;1;1
Error_EndEvent_TopLevel;jbpm;events;1;0;1;1
Error_StartEvent_EventSubProcess_Interrupting;jbpm;events;1;0;1;1
Escalation_BoundaryEvent_SubProcess_Interrupting;jbpm;events;0;1;1;1
Escalation_BoundaryEvent_SubProcess_NonInterrupting;jbpm;events;1;0;1;1
Escalation_EndEvent_SubProcess;jbpm;events;1;0;1;1
Escalation_EndEvent_TopLevel;jbpm;events;1;0;1;1
Escalation_IntermediateThrowEvent;jbpm;events;1;0;1;1
Escalation_StartEvent_EventSubProcess_Interrupting;jbpm;events;1;0;1;1
Escalation_StartEvent_EventSubProcess_NonInterrupting;jbpm;events;1;0;1;1
Link_Event;jbpm;events;1;0;1;1
Signal_BoundaryEvent_SubProcess_Interrupting;jbpm;events;0;1;1;1
Signal_BoundaryEvent_SubProcess_NonInterrupting;jbpm;events;1;0;1;1
Signal_EndEvent_SubProcess;jbpm;events;1;0;1;1
Signal_IntermediateEvent_ThrowAndCatch;jbpm;events;1;0;1;1
Signal_StartEvent_EventSubProcess_Interrupting;jbpm;events;1;0;1;1
Signal_StartEvent_EventSubProcess_NonInterrupting;jbpm;events;1;0;1;1
Terminate_Event;jbpm;events;1;0;1;1
Timer_BoundaryEvent_SubProcess_Interrupting;jbpm;events;1;0;1;1
Timer_BoundaryEvent_SubProcess_NonInterrupting;jbpm;events;1;0;1;1
Timer_IntermediateEvent;jbpm;events;1;0;1;1
Timer_StartEvent_EventSubProcess_Interrupting;jbpm;events;0;1;1;1
Timer_StartEvent_EventSubProcess_NonInterrupting;jbpm;events;0;1;1;1
ComplexGateway;jbpm;gateways;0;4;4;1
EventBasedGateway_Signals;jbpm;gateways;1;0;1;1
EventBasedGateway_Timer;jbpm;gateways;1;0;1;1
ExclusiveDiverging_InclusiveConverging;jbpm;gateways;1;0;3;1
ExclusiveGatewayMixed;jbpm;gateways;0;3;3;1
ExclusiveGateway;jbpm;gateways;1;0;4;1
ExclusiveGateway_Default;jbpm;gateways;1;0;4;1
InclusiveDiverging_ExclusiveConverging;jbpm;gateways;1;0;3;1
InclusiveGateway;jbpm;gateways;1;0;4;1
InclusiveGateway_Default;jbpm;gateways;0;1;1;1
ParallelDiverging_ExclusiveConverging;jbpm;gateways;1;0;1;1
ParallelDiverging_InclusiveConverging;jbpm;gateways;1;0;1;1
ParallelGateway;jbpm;gateways;1;0;1;1
